feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d
15,0.009578407,0.12579784,0.11621943,0.12497225,0.12261653,0.077572376
27,0.008742966,0.11482534,0.10608237,0.11407174,0.11192149,0.07757256
10,0.008564845,0.11248627,0.10392143,0.11174798,0.109641604,0.07757237
40,0.0074679106,0.09807965,0.09061174,0.097435944,0.09559943,0.07757234
54,0.0074678957,0.09807904,0.090611145,0.09743533,0.09559879,0.077572696
8,0.0059813485,0.07855621,0.07257486,0.078040674,0.07656963,0.07757208
12,0.0058265626,0.07652322,0.07069666,0.076021,0.07458806,0.07757218
25,0.005586967,0.0733764,0.067789435,0.07289482,0.07152078,0.07757231
52,0.0049927086,0.06557187,0.06057916,0.06514152,0.063913666,0.077572085
14,0.0045357235,0.059570055,0.055034332,0.0591791,0.058063574,0.077572115
58,0.004412271,0.057948332,0.05353606,0.057568006,0.05648288,0.07757259
30,0.0044111907,0.05793416,0.05352297,0.057553943,0.056469113,0.07757252
22,0.0043654777,0.057334162,0.052968685,0.056957874,0.05588428,0.077572025
31,0.0043454096,0.05707049,0.05272508,0.056695938,0.05562727,0.077572174
3,0.0042572543,0.05591274,0.051655486,0.055545785,0.054498762,0.077572145
4,0.004094634,0.053776514,0.04968188,0.053423576,0.05241655,0.077572815
36,0.004050765,0.053200986,0.04915022,0.052851845,0.051855598,0.07757188
13,0.004041441,0.053078175,0.049036734,0.05272983,0.051735915,0.07757237
37,0.0039205365,0.051490434,0.047569897,0.05115252,0.0501883,0.07757216
23,0.0033031106,0.04338143,0.04007832,0.043096714,0.042284403,0.077572174
2,0.0033030994,0.043381497,0.040078398,0.0430968,0.04228445,0.077571794
55,0.0026960783,0.035409097,0.03271302,0.03517671,0.034513652,0.07757191
63,0.0026422217,0.03470168,0.032059457,0.034473937,0.033824112,0.07757213
16,0.002566617,0.033708725,0.031142108,0.033487495,0.03285626,0.07757214
45,0.002452841,0.032214344,0.029761503,0.032002915,0.031399652,0.07757243
9,0.002267981,0.029786488,0.027518507,0.029591002,0.029033216,0.07757238
26,0.001597574,0.020981709,0.019384135,0.020844009,0.020451117,0.07757234
51,0.0015759915,0.020698223,0.019122232,0.020562375,0.020174786,0.07757251
61,0.0014020465,0.018413723,0.017011676,0.018292869,0.01794805,0.07757254
56,0.0012529604,0.016455779,0.015202818,0.01634778,0.016039629,0.07757216
50,0.0011796411,0.015492836,0.014313195,0.015391158,0.015101049,0.07757214
32,0.0011216477,0.014731197,0.013609549,0.014634513,0.014358672,0.07757203
60,0.001055643,0.013864328,0.012808685,0.013773335,0.013513712,0.07757205
0,0.00071186386,0.009349271,0.008637407,0.009287912,0.009112836,0.07757223
57,0.0005185092,0.0068098423,0.006291333,0.0067651477,0.0066376324,0.07757223
53,0.0002438447,0.003202557,0.0029587124,0.0031815392,0.0031215684,0.077571705
28,8.735538e-05,0.0011472699,0.0010599145,0.0011397408,0.0011182566,0.077573076
1,-0.0007729563,0.0046223816,0.005395338,0.005602297,0.0058010686,-0.13490352
43,-0.0009797006,0.0058587138,0.0068384144,0.0071007223,0.007352652,-0.13490424
7,-0.0016098451,0.009627052,0.011236897,0.011667935,0.01208191,-0.13490398
17,-0.0019368166,0.011582442,0.013519258,0.014037851,0.014535902,-0.13490334
21,-0.0044986755,0.026902623,0.0314013,0.032605805,0.033762645,-0.13490388
59,-0.004676042,0.027963275,0.032639317,0.033891328,0.035093784,-0.13490391
18,-0.0048234705,0.028844966,0.033668436,0.034959897,0.036200263,-0.1349038
38,-0.005795736,0.034659173,0.04045491,0.042006705,0.04349707,-0.13490398
29,-0.005840998,0.034929957,0.040770955,0.042334903,0.043836933,-0.13490349
49,-0.006802473,0.040679656,0.04748213,0.04930348,0.05105272,-0.13490379
33,-0.006884262,0.041168883,0.048053145,0.049896404,0.05166673,-0.13490334
20,-0.0070234686,0.04200115,0.04902462,0.05090516,0.052711215,-0.13490398
6,-0.007651914,0.045759413,0.053411327,0.05546011,0.057427865,-0.13490368
11,-0.008322928,0.049772084,0.05809501,0.060323443,0.06246372,-0.13490394
34,-0.009509347,0.05686722,0.06637657,0.068922706,0.07136809,-0.13490342
24,-0.010133974,0.060602516,0.07073649,0.07344986,0.07605582,-0.13490362
35,-0.010737941,0.06421426,0.0749522,0.077827275,0.08058861,-0.13490365
47,-0.011312999,0.0676531,0.078966096,0.08199509,0.08490425,-0.13490392
48,-0.01147408,0.06861646,0.08009054,0.08316275,0.08611332,-0.13490367
46,-0.012466185,0.07454943,0.087015614,0.0903534,0.0935591,-0.13490367
42,-0.012584016,0.07525419,0.0878382,0.091207646,0.09444363,-0.13490339
19,-0.013040677,0.07798504,0.09102572,0.09451734,0.09787079,-0.13490354
44,-0.015368946,0.09190826,0.10727721,0.11139225,0.11534438,-0.1349037
5,-0.015677653,0.09375433,0.10943198,0.113629706,0.117661186,-0.13490376
39,-0.01569409,0.093852706,0.109546795,0.11374891,0.11778463,-0.13490364
41,-0.017078578,0.10213204,0.119210616,0.12378335,0.12817517,-0.13490377
62,-0.0193265,0.115574814,0.13490131,0.1400759,0.14504568,-0.13490394
