layer,k,selection_split,eval_split,n_samples,mean_effect_safe,mean_effect_random,mean_delta_safe_minus_random,delta_bootstrap_95_ci,delta_permutation_p,summary_json,sample_csv
12,8,train,test,84,0.10246930803571429,0.1032133556547619,-0.000744047619047619,"[-0.002232142857142857, 0.0]",1.0,results\pilot_ablation\effect_summary_layer12_k8_test.json,results\pilot_ablation\effects_layer12_k8_test.csv
12,16,train,test,84,0.09456380208333333,0.1032133556547619,-0.008649553571428572,"[-0.055850074404761904, 0.03994721912202381]",0.7472252774722528,results\pilot_ablation\effect_summary_layer12_k16_test.json,results\pilot_ablation\effects_layer12_k16_test.csv
12,32,train,test,84,-0.21942429315476192,0.1032133556547619,-0.32263764880952384,"[-0.41951613653273806, -0.22990141369047623]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer12_k32_test.json,results\pilot_ablation\effects_layer12_k32_test.csv
12,64,train,test,84,-0.15790085565476192,0.11851283482142858,-0.27641369047619047,"[-0.38039899553571427, -0.17931082589285716]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer12_k64_test.json,results\pilot_ablation\effects_layer12_k64_test.csv
16,8,train,test,84,-0.9500790550595238,-0.9220842633928571,-0.027994791666666668,"[-0.05432012648809524, -0.007810174851190489]",0.0112988701129887,results\pilot_ablation\effect_summary_layer16_k8_test.json,results\pilot_ablation\effects_layer16_k8_test.csv
16,16,train,test,84,-0.6968005952380952,-0.9220842633928571,0.22528366815476192,"[0.12853131975446427, 0.3400303431919643]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer16_k16_test.json,results\pilot_ablation\effects_layer16_k16_test.csv
16,32,train,test,84,-0.6548781622023809,-0.9220842633928571,0.26720610119047616,"[0.15406436011904762, 0.4004917689732142]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer16_k32_test.json,results\pilot_ablation\effects_layer16_k32_test.csv
16,64,train,test,84,-0.49946521577380953,-0.9320359002976191,0.43257068452380953,"[0.2958391462053572, 0.5795247395833333]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer16_k64_test.json,results\pilot_ablation\effects_layer16_k64_test.csv
20,8,train,test,84,1.53857421875,1.5205310639880953,0.01804315476190476,"[-0.007114955357142857, 0.04041341145833332]",0.13608639136086392,results\pilot_ablation\effect_summary_layer20_k8_test.json,results\pilot_ablation\effects_layer20_k8_test.csv
20,16,train,test,84,1.8355887276785714,1.5388997395833333,0.2966889880952381,"[0.17772972470238096, 0.43131626674107143]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer20_k16_test.json,results\pilot_ablation\effects_layer20_k16_test.csv
20,32,train,test,84,1.8370768229166667,1.5125325520833333,0.3245442708333333,"[0.20981561569940477, 0.4562651134672618]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer20_k32_test.json,results\pilot_ablation\effects_layer20_k32_test.csv
20,64,train,test,84,1.8541899181547619,1.5125325520833333,0.34165736607142855,"[0.22078566778273812, 0.47397228422619037]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer20_k64_test.json,results\pilot_ablation\effects_layer20_k64_test.csv
24,8,train,test,84,2.710635230654762,2.2833658854166665,0.42726934523809523,"[0.3318452380952381, 0.5247488839285714]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer24_k8_test.json,results\pilot_ablation\effects_layer24_k8_test.csv
24,16,train,test,84,8.569080171130953,2.2718331473214284,6.297247023809524,"[5.638383556547619, 6.887681361607142]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer24_k16_test.json,results\pilot_ablation\effects_layer24_k16_test.csv
24,32,train,test,84,9.932361421130953,2.239839099702381,7.692522321428571,"[7.156426711309524, 8.20618954613095]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer24_k32_test.json,results\pilot_ablation\effects_layer24_k32_test.csv
24,64,train,test,84,11.005650111607142,2.275181361607143,8.73046875,"[8.178929501488096, 9.257291666666665]",9.999000099990002e-05,results\pilot_ablation\effect_summary_layer24_k64_test.json,results\pilot_ablation\effects_layer24_k64_test.csv
